Name,Product Id,Price,Material
Fusion Ivory Wool Rug by Rug Guru,RG1301,£175.00,Wool
Maine Midnight Shaggy Wool Rug by Rug Guru ,RG1205,£195.00,Wool
Elements EL-65 Grey Wool Rug By Think Rugs,TR1318,£229.99,Wool
Boston Heather Plain Shaggy Rug by Ultimate Rug,UR1703,£39.00,Polyester
Kashqai 4306 400 Green Traditional Wool Rug By Mastercraft,MC1806,£158.00,Wool
Monaco Ochre Wool Rug by Origins,RG9603-1,£162.00,Wool
Floral Art Gem Beige Wool Rug By Ultimate Rug,UR2819,£82.00,Wool
Floral Art Sovereign Grey Wool Rug By Ultimate Rug,UR2804,£47.00,Wool
Unique Kids Truck Style Wool Rug by Prestige,UR3102,£74.99,Wool
Nourison TWI15 Twilight Grey Wool Rug,NR3433,£838.00,"Viscose , Wool"
Nourison TWI15 Twilight Ivory Grey Wool Rug,NR3435,£838.00,"Viscose , Wool"
Retro Flower Choc Designer Wool Rug By Ultimate Rug,UR2708,£47.00,Wool
Nourison TWI18 Twilight Storm Wool Rug,NR3439,£838.00,"Viscose , Wool"
Nourison TWI19 Twilight Multicolor Wool Rug,NR3441,£838.00,"Viscose , Wool"
Nourison TWI17 Twilight Moon Wool Rug,NR3437,£838.00,"Viscose , Wool"
Nourison TWI21 Twilight Grey Red Wool Rug,NR3445,£838.00,"Viscose , Wool"
Japanese Fans Gold 039305 Wool Rug by Florence Broadhurst,FB0103,£388.00,Wool
Nourison TWI20 Twilight Grey Blue Wool Rug,NR3443,£838.00,"Viscose , Wool"
Nourison TWI22 Twilight Blue Grey Wool Rug,NR3447,£838.00,"Viscose , Wool"
Waterwave Stripe Citron 039906 Wool Rug by Florence Broadhurst,FB0107,£388.00,Wool
Nourison TWI24 Twilight Blue Ivory Wool Rug,NR3451,£838.00,"Viscose , Wool"
Waterwave Stripe Pearl 039908 Wool Rug by Florence Broadhurst,FB0108,£388.00,Wool
Tortoiseshell Stripe Jade 039808 Wool Rug by Florence Broadhurst,FB0106,£388.00,Wool
Turnabouts Claret 039200 Wool Rug by Florence Broadhurst,FB0109,£388.00,Wool
Floral 300 Poppy 039600 Wool Rug by Florence Broadhurst,FB0112,£388.00,Wool
Slub Charcoal 039405 Wool Rug by Florence Broadhurst,FB0114,£388.00,Wool
Modern Poly Moda Green Rug by Rug Style,UR4833,£26.00,Polypropylene
Modern Poly Moda Plum Rug by Rug Style,UR4832,£19.00,Polypropylene
Slub Mist 039401 Wool Rug by Florence Broadhurst,FB0113,£388.00,Wool
Cotswold Natural COTW03 Charcoal Rug by Concept Looms,CL0503,£128.00,"Cotton , Wool"
Modern Poly Stripe Red Rug by Rug Style,UR4854,£19.00,Polypropylene
Modern Poly Waves Red Rug by Rug Style,UR4859,£19.00,Polypropylene
Spirit Blocks Purple Modern Rug by Ultimate Rug,UR9905,£27.00,Polypropylene
Kiddy Play Polka Heart Pastel Pink Rug By Flair Rugs,FR1105,£25.00,Polyester
Modern Poly Newton Black Rug by Rug Style,UR4839,£19.00,Polypropylene
Spirit Blocks Grey Ochre Modern Rug by Ultimate Rug,UR9911,£27.00,Polypropylene
Tula Blue Soft Plain Polyester Rug by Asiatic,AS07704-1,£130.15,Polyester
Spirit Leaf Beige Modern Rug by Ultimate Rug,UR9923,£27.00,Polypropylene
Spirit Leaf Grey Teal Modern Rug by Ultimate Rug,UR9924,£15.00,Polypropylene
Spirit Leaf Grey Ochre Modern Rug by Ultimate Rug,UR9926,£15.00,Polypropylene
Traditional Poly Sandringham Black Rug by Rug Style,UR5171,£36.00,Polypropylene
Traditional Poly Coronation Green Rug by Rug Style,UR5189,£36.00,Polypropylene
Whisper Duckegg Plain Rug by Rug Style,UR9105,£48.00,Polypropylene
Abacus Charcoal Plain Rug By Asiatic,AS08701-1,£301.15,Natural Fibers
Flossy Ivory Plain Shaggy Rug by Ultimate Rug,UR10603,£37.00,Polyester
Logan LG10 Ogee Ivory Grey Rug By Asiatic,AS11210-1,£83.60,Polypropylene
Whisper Silver Plain Rug by Rug Style,UR9102,£48.00,Polypropylene
Flossy Mink Plain Shaggy Rug by Ultimate Rug,UR10604,£37.00,Polyester
Acapulco ACA 681 Taupe Abstract Rug,OB0104,£52.92,Polypropylene
Willow Boughs 428607 Leafy Arbor Outdoor Rug by Morris & CO.,MO1004,£264.00,Polypropylene
Acapulco ACA 680 Silver Abstract Rug,OB0101,£52.92,Polypropylene
Esmae Putty Shaggy Rug by Asiatic,AS03206-1,£92.15,Polypropylene
Acapulco ACA 683 Taupe Abstract Rug,OB0108,£52.92,Polypropylene
Enzo Light Grey Textured Plain Rug By Asiatic,AS09704-1,£595.65,"Viscose , Cotton , Wool"
Copacabana COP 362 Anthracite Bordered Rug,OB1003,£48.60,Polypropylene
Matrix Cuzzo MAX70 Cuzzo Blue Wool Rug by Asiatic,AS04909,£98.00,Wool
Matrix Cuzzo MAX69 Cuzzo Mustard Wool Rug by Asiatic,AS04911,£114.80,Wool
Curacao CUR 490 Plain Petrol Rug,OB1205,£74.52,Polyester
Copacabana COP 361 Taupe Abstract Rug,OB1002,£48.60,Polypropylene
Curacao CUR 490 Plain Ivory Rug,OB1203,£74.52,Polyester
Dakota DAK 130 Burlywood Wool Rug,OB1301,£268.92,Wool
Copacabana COP 362 Taupe Bordered Rug,OB1004,£48.60,Polypropylene
Dolce Green Luxury Handmade Rug by Asiatic,AS00109,£240.92,Cotton
Curacao CUR 490 Plain Silver Rug,OB1207,£74.52,Polyester
Dakota DAK 130 Gainsboro Wool Rug,OB1303,£268.92,Wool
Curacao CUR 490 Plain Powder Pink Rug,OB1206,£74.52,Polyester
Dakota DAK 130 Charlton Wool Rug,OB1302,£268.92,Wool
Funky FKY 300 Anthracite Plain Rug,OB1701,£46.80,Polypropylene
Dakota DAK 130 Savannah Wool Rug,OB1304,£268.92,Wool
Funky FKY 300 Aqua Plain Rug,OB1702,£34.80,Polypropylene
Onix ON16 Tribal Mix Teal Rug by Asiatic,AS11314-1,£111.87,Cotton
Pimlico Fine Stripe Spice Rug By Asiatic,AS11409-1,£80.56,Wool
Dash DA02 Dark Multi Wool Rug by Asiatic,AS16402-1,£107.58,Wool
Dash DA04 Bright Multi Wool Rug by Asiatic,AS16404-1,£108.53,Wool
Skandi Look Boho Grey Outdoor Rug by Unique Rugs,FT0206,£142.80,Polypropylene
Onix ON14 Tribal Mix Green Rug by Asiatic,AS11315-1,£104.36,Cotton
Easy Care Boheme Natural Denim Rug by Unique Rugs,FT0928,£82.80,"Cotton , Polyester"
Riley RL01 Blue Rug by Asiatic,AS00404-1,£210.33,Polyester
Matrix Wire MAX38 Green Wool Rug by Asiatic,AS04107-1,£154.09,Wool
Riley RL02 Red Rug by Asiatic,AS00402-1,£209.37,Polyester
Cozy Green Modern Rug by Asiatic,AS00504-1,£204.54,Polyester
Auckland Honey Sheepskin Rug by Asiatic,AS00701-1,£36.29,"Acrylic , Polyester"
Whisper Yellow Shaggy Rug by Asiatic,AS01620-1,£69.08,Polyester
Auckland Pink Sheepskin Rug by Asiatic,AS00702-1,£36.29,"Acrylic , Polyester"
Elona Grey Cowhide Rug by Asiatic,AS00801-1,£271.32,Leather
Elona Silver Cowhide Rug by Asiatic,AS00802-1,£271.32,Leather
Elona Aqua Cowhide Rug by Asiatic,AS00803-1,£271.32,Leather
Elona Gold Cowhide Rug by Asiatic,AS00804-1,£271.32,Leather
